,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,High Temperature,Wind Speed
374,Vestmannaeyjar,28,IS,1576548070,67,63.44,-20.27,32.34,19.75
375,Wellington,100,NZ,1576547930,82,-41.29,174.78,68.0,8.05
376,Saryg-Sep,100,RU,1576548071,97,51.5,95.6,-3.14,1.12
377,Tacuarembo,29,UY,1576548071,82,-31.73,-55.98,59.52,1.95
378,Ati,0,TD,1576548073,16,13.22,18.34,68.72,10.8
379,Druzhba,100,UA,1576548073,93,52.04,33.95,33.96,6.4
380,Charleston,90,US,1576548045,93,32.78,-79.93,68.0,6.62
381,Kilindoni,100,TZ,1576548073,74,-7.91,39.67,84.27,9.82
382,Tahe,46,CN,1576548073,78,52.33,124.73,0.66,2.37
383,Tarboro,1,US,1576548073,72,35.9,-77.54,60.8,5.82
384,Sisimiut,100,GL,1576548074,50,66.94,-53.67,12.09,6.17
385,Faanui,90,PF,1576548074,84,-16.48,-151.75,80.15,12.84
386,Manggar,100,ID,1576548074,75,-2.88,108.27,82.49,10.36
387,Luderitz,0,NA,1576548074,93,-26.65,15.16,59.0,10.29
388,Teluk Nibung,78,ID,1576548074,79,3.0,99.82,79.41,6.98
389,Valparaiso,0,CL,1576548075,59,-33.04,-71.63,64.4,5.82
390,Chiredzi,90,ZW,1576548075,75,-21.05,31.67,66.85,5.91
391,Lazaro Cardenas,33,MX,1576548006,83,17.96,-102.2,74.8,2.19
392,The Valley,20,AI,1576547802,74,18.22,-63.06,80.6,16.11
393,Buraydah,0,SA,1576548029,100,26.33,43.98,48.2,12.75
394,Palestine,20,PS,1576548075,76,31.92,35.2,51.01,4.7
395,Uhlove,81,UA,1576548076,80,44.82,33.6,52.39,18.63
396,Lasa,40,IT,1576548076,93,46.62,10.7,39.99,4.7
397,Gogrial,11,SS,1576548076,16,8.53,28.1,67.57,5.55
398,Lorengau,98,PG,1576548076,74,-2.02,147.27,84.51,16.89
399,Mamallapuram,20,IN,1576548076,94,12.63,80.17,75.2,15.48
400,Hovd,85,MN,1576548077,64,48.01,91.64,3.54,0.87
401,Samarai,54,PG,1576548077,63,-10.62,150.67,83.97,9.84
402,Stornoway,65,GB,1576548077,92,58.21,-6.39,28.4,1.12
403,Male,75,MV,1576548077,78,4.17,73.51,82.4,11.41
404,Teguldet,99,RU,1576548077,94,57.31,88.17,5.34,6.04
405,Great Yarmouth,100,GB,1576548078,93,52.61,1.73,45.0,8.05
406,Moussoro,0,TD,1576548078,22,13.64,16.49,67.8,16.35
407,Resistencia,67,AR,1576548078,100,-27.46,-58.98,71.6,3.36
408,Altay,72,CN,1576548078,73,47.87,88.12,1.49,4.14
409,Homer,40,US,1576548078,60,59.64,-151.55,42.8,5.82
410,Pedasi,37,PA,1576548078,81,7.53,-80.03,80.24,15.12
411,Bud,90,US,1576548079,92,39.45,-86.18,32.0,14.99
412,Pervomayskoye,84,RU,1576548079,79,43.92,46.71,40.41,5.75
413,Lesosibirsk,97,RU,1576548079,94,58.24,92.48,5.79,6.58
414,Camargo,90,ES,1576548079,93,43.41,-3.88,55.0,5.82
415,Normandin,75,CA,1576548080,78,48.83,-72.53,12.99,10.29
416,Sambava,36,MG,1576548080,94,-14.27,50.17,74.25,2.21
417,Port Macquarie,75,AU,1576548080,47,-31.43,152.92,84.0,13.87
418,Concepcion,20,CL,1576548080,67,-36.83,-73.05,60.8,14.99
419,Waingapu,0,ID,1576548080,69,-9.66,120.26,84.87,0.74
420,Belmonte,20,BR,1576548081,78,-15.86,-38.88,78.8,6.93
421,Illela,31,NG,1576548081,12,13.73,5.3,65.75,12.68
422,Tomakivka,90,UA,1576548081,100,47.82,34.74,42.8,2.24
423,Kapoeta,0,SS,1576548081,64,4.77,33.59,77.47,1.1
424,Fairbanks,1,US,1576548032,83,64.84,-147.72,6.01,3.96
425,Seoul,90,KR,1576548080,100,37.57,126.98,50.0,1.12
426,Saint Pete Beach,1,US,1576548082,88,27.73,-82.74,73.99,4.54
427,Khuzhir,100,RU,1576548082,65,53.19,107.34,13.3,10.58
428,Darhan,0,MN,1576548083,88,49.49,105.92,-4.52,5.19
429,Vagur,100,FO,1576548083,83,61.47,-6.81,43.09,16.82
430,Nizwa,0,OM,1576548083,79,22.93,57.53,59.65,2.82
431,Tarakan,75,ID,1576548083,100,3.3,117.63,78.8,5.82
432,San Pedro de Ycuamandiyu,100,PY,1576548083,99,-24.09,-57.08,68.74,2.98
433,Port-Gentil,100,GA,1576548084,79,-0.72,8.78,81.45,8.72
434,Tefe,89,BR,1576548084,87,-3.35,-64.71,76.12,1.66
435,Pacifica,1,US,1576548084,57,37.61,-122.49,53.6,6.26
436,Vinh,95,VN,1576548084,87,18.67,105.67,73.44,1.68
437,Newport,90,GB,1576547959,100,51.59,-3.0,43.0,3.36
438,Benguela,100,AO,1576547918,86,-12.58,13.41,77.88,3.02
439,Portland,20,US,1576547882,60,45.52,-122.68,44.6,3.36
440,Bonthe,1,SL,1576548085,79,7.53,-12.51,79.05,5.19
441,Tilichiki,0,RU,1576548085,92,60.47,166.1,-9.6,5.01
442,Hauterive,100,FR,1576548085,54,46.09,3.45,60.8,31.09
443,Pangkalanbuun,100,ID,1576547919,73,-2.68,111.62,82.98,0.76
444,Aksarka,50,RU,1576548086,97,66.56,67.8,2.64,6.53
445,Pointe Michel,40,DM,1576548086,78,15.25,-61.38,80.6,12.75
446,Trapani,1,IT,1576548087,63,38.02,12.54,61.0,11.41
447,Jalpan,10,MX,1576548087,63,21.23,-99.48,59.49,3.87
448,Vega de Alatorre,0,MX,1576548087,87,20.03,-96.63,76.12,5.21
449,Pemba,100,MZ,1576548087,84,-12.97,40.52,78.21,10.22
450,Kungurtug,83,RU,1576548087,79,50.6,97.52,-6.61,1.68
451,Walvis Bay,53,NA,1576548087,88,-22.96,14.51,62.01,1.66
452,Morros,93,BR,1576548088,50,-9.45,-46.3,79.9,1.57
453,Amga,100,RU,1576548088,92,60.9,131.96,-22.83,3.85
454,Bathsheba,40,BB,1576548088,74,13.22,-59.52,80.6,24.16
455,Laredo,1,US,1576547940,34,27.51,-99.51,69.8,12.75
456,Vao,3,NC,1576548088,86,-22.67,167.48,76.87,13.31
457,Margate,75,GB,1576548088,100,51.38,1.39,46.4,4.7
458,Nyimba,94,ZM,1576548088,80,-14.56,30.81,69.53,11.3
459,Tazovskiy,100,RU,1576547798,94,67.47,78.7,11.5,10.6
460,San Juan,0,AR,1576548089,31,-31.54,-68.54,76.03,14.85
461,Husavik,75,IS,1576548089,92,66.04,-17.34,30.2,18.34
462,Acarau,0,BR,1576548089,81,-2.89,-40.12,76.55,4.59
463,Sechura,0,PE,1576548090,85,-5.56,-80.82,67.87,7.9
464,Uarini,87,BR,1576548090,81,-2.99,-65.11,76.8,1.03
465,Ordu,0,TR,1576548090,93,40.91,37.68,41.0,7.65
466,Sioux Lookout,90,CA,1576548090,84,50.1,-91.92,5.0,3.36
467,Rota,90,ES,1576548090,93,36.62,-6.36,55.4,5.82
468,Petropavlovsk-Kamchatskiy,41,RU,1576548091,78,53.05,158.65,17.6,8.95
469,Naze,20,JP,1576548091,69,28.37,129.48,75.2,8.05
470,Sawtell,75,AU,1576548091,61,-30.38,153.1,81.0,16.11
471,Santa Fe,1,US,1576548025,49,35.69,-105.94,28.4,5.59
472,Mehamn,100,NO,1576548091,98,71.04,27.85,31.14,7.14
473,Havoysund,100,NO,1576548092,75,71.0,24.66,32.0,20.8
474,Ubinskoye,99,RU,1576548092,93,55.31,79.68,8.02,8.84
475,Kysyl-Syr,100,RU,1576548093,95,63.9,122.76,-22.85,6.2
476,Oranjemund,0,NA,1576548093,91,-28.55,16.43,57.94,4.32
477,Lincoln,90,US,1576547809,100,40.8,-96.67,24.8,4.7
478,Macas,70,EC,1576548093,98,-2.32,-78.12,62.76,2.39
479,Kanke,75,IN,1576548093,87,23.43,85.32,60.8,9.44
480,Westport,90,US,1576548094,55,41.14,-73.36,37.4,6.93
481,Pangnirtung,100,CA,1576548094,58,66.15,-65.71,12.88,9.06
482,San Quintin,0,MX,1576548094,70,30.48,-115.95,59.11,1.9
483,Rio Gallegos,90,AR,1576548034,87,-51.62,-69.22,50.0,9.17
484,Smidovich,100,RU,1576548094,91,48.6,133.82,17.76,9.98
485,Austin,1,US,1576547821,59,30.27,-97.74,46.4,10.29
486,Rawson,4,AR,1576548095,63,-43.3,-65.1,57.04,14.41
487,Volno-Nadezhdinskoye,90,RU,1576548095,100,43.38,131.99,33.8,2.86
488,Codrington,89,AU,1576548095,72,-38.27,141.97,64.67,12.82
489,Ginir,58,ET,1576548096,78,7.13,40.7,57.18,3.47
490,Vila,75,PT,1576548096,100,42.03,-8.16,45.0,3.36
491,Havre-Saint-Pierre,90,CA,1576547973,66,50.23,-63.6,15.8,29.97
492,Ballina,40,AU,1576548096,61,-28.87,153.57,80.01,17.22
493,Pamanukan,99,ID,1576548096,70,-6.28,107.81,83.77,5.26
494,Iasmos,20,GR,1576548096,93,41.13,25.18,52.0,3.36
495,Pravda,75,RU,1576548097,97,46.94,142.01,32.0,8.95
496,Areia Branca,58,BR,1576548097,70,-4.96,-37.14,77.56,17.83
497,Chapais,90,CA,1576548097,84,49.78,-74.85,6.8,6.93
498,Gushikawa,0,JP,1576548097,73,26.35,127.87,77.0,6.93
499,Daru,65,PG,1576548097,49,-9.08,143.21,90.64,8.72
500,San Felipe,82,VE,1576548098,95,10.34,-68.74,72.64,1.21
501,Mirnyy,95,RU,1576548098,74,62.54,113.96,-25.6,11.18
502,Rupert,1,US,1576548098,85,42.62,-113.68,23.0,5.82
503,Kiunga,100,PG,1576548098,47,-6.12,141.29,95.22,1.43
504,Komsomolskiy,100,UZ,1576548098,92,40.43,71.72,21.2,1.86
505,Turukhansk,99,RU,1576548098,95,65.82,87.98,-8.23,7.67
506,Capitan Bado,100,PY,1576548098,97,-23.27,-55.53,69.94,7.4
507,Kondoa,80,TZ,1576548099,91,-4.9,35.78,63.61,6.93
508,Djibo,58,BF,1576548099,10,14.1,-1.63,68.5,8.77
509,Dingle,99,PH,1576548099,86,11.0,122.67,79.81,12.26
510,Touros,20,BR,1576547931,78,-5.2,-35.46,77.0,4.7
511,Boyolangu,83,ID,1576548099,67,-8.12,111.89,85.69,7.52
512,Caronport,77,CA,1576548099,87,50.45,-105.82,7.54,4.5
513,Sompeta,30,IN,1576548100,70,18.93,84.6,73.6,3.78
514,Blankenberge,40,BE,1576548100,93,51.31,3.13,46.99,4.7
515,Chatham,75,GB,1576547926,100,51.38,0.53,46.0,4.7
516,Kattivakkam,20,IN,1576548100,94,13.22,80.32,75.2,19.53
517,Ketchikan,90,US,1576547938,93,55.34,-131.65,41.0,8.05
518,Asau,5,RO,1576548101,93,46.43,26.4,43.0,3.36
519,Santa Maria do Para,100,BR,1576548101,94,-1.35,-47.58,74.82,3.76
520,Wanxian,100,CN,1576548101,75,30.8,108.39,51.19,2.28
521,Gairo,40,IT,1576548101,87,39.85,9.5,55.4,11.41
522,Salym,100,RU,1576548101,91,60.06,71.48,9.32,4.47
523,Warrington,100,GB,1576548101,100,53.39,-2.58,37.99,5.82
524,Mantua,52,CU,1576548102,78,22.29,-84.28,80.08,16.8
525,Popondetta,13,PG,1576548103,59,-8.75,148.25,84.34,5.7
526,Palmer,1,US,1576548103,68,42.16,-72.33,30.2,2.62
527,Kuznechikha,100,RU,1576548103,98,57.22,42.33,32.52,4.56
528,Ternate,97,ID,1576548103,58,0.8,127.4,88.3,4.18
529,Lavrentiya,100,RU,1576548104,86,65.58,-171.0,21.94,10.85
530,Timra,66,SE,1576548104,90,62.49,17.33,34.0,2.24
531,Antalaha,52,MG,1576548104,83,-14.9,50.28,80.83,4.21
